Group,N,AUC,Sensitivity,Specificity,PPV,FNR,Observed_Rate,Predicted_Rate,Calibration_Gap,Brier
Overall,4400,0.7599053794729759,0.7459170514642193,0.640493859231823,0.3504896651429883,0.25408294853578073,0.20639882881197558,0.20694871866950026,0.000549889857524688,0.13948942674188422
Hispanic,842,0.783475443279509,0.6745676009775836,0.769447336585813,0.3222790349475745,0.32543239902241633,0.13980500251884226,0.15732934012267974,0.01752433760383748,0.10602894324464598
NH White,2622,0.7407668373124354,0.7584406900348672,0.5910743183135166,0.383013853771339,0.24155930996513278,0.25077061031098297,0.22358093929844974,0.027189671012533223,0.1613919265256041
NH Black,550,0.8336217789588545,0.8724621429168045,0.6497473146346577,0.30795395535623804,0.1275378570831955,0.15156657818736358,0.2091090957685441,0.057542517581180536,0.10160395731509496
NH Asian,250,0.6445759272418516,0.5197839949439549,0.6388410426232956,0.1469741535845259,0.4802160050560451,0.10691685128313855,0.19693981701007057,0.09002296572693202,0.11213147383244362
NH Other/Multiple,136,0.7639590609122775,0.627538637284255,0.666464883847196,0.29583711293341425,0.3724613627157449,0.1825362492002047,0.19671060874768517,0.014174359547480475,0.127361308507033
